Group1	Group2	Significance	Fold_change	Concentration	Passage1	Passage2	FDR	FDR_sig	Compare	Compound
0_Duloxetine_50	0_DMSO_control_0	0.114285714285714	0.0861596591665491	50	0	0	0.319999999999999	Non-sig	auc_l	Duloxetine
14_Duloxetine_50	14_DMSO_control_0	0.685714285714286	0.0305260816501515	50	14	14	0.738461538461539	Non-sig	auc_l	Duloxetine
17_Duloxetine_50	17_DMSO_control_0	0.685714285714286	0.00147218038637375	50	17	17	0.738461538461539	Non-sig	auc_l	Duloxetine
4_Duloxetine_50	4_DMSO_control_0	0.342857142857143	0.0150971098748933	50	4	4	0.533333333333334	Non-sig	auc_l	Duloxetine
20_Duloxetine_50	20_DMSO_control_0	0.0285714285714286	0.0539709118026974	50	20	20	0.1	Non-sig	auc_l	Duloxetine
7_Duloxetine_50	7_DMSO_control_0	0.342857142857143	0.00406947712592174	50	7	7	0.533333333333334	Non-sig	auc_l	Duloxetine
10_Duloxetine_50	10_DMSO_control_0	0.685714285714286	-0.0083443329307042	50	10	10	0.738461538461539	Non-sig	auc_l	Duloxetine
7_Olaparib_25	7_DMSO_control_0	1	-0.0108247674416462	25	7	7	1	Non-sig	auc_l	Olaparib
14_Olaparib_25	14_DMSO_control_0	0.342857142857143	-0.013593752488744	25	14	14	0.6	Non-sig	auc_l	Olaparib
10_Olaparib_25	10_DMSO_control_0	0.0285714285714286	0.0295724939217741	25	10	10	0.0800000000000001	Non-sig	auc_l	Olaparib
17_Olaparib_25	17_DMSO_control_0	0.0571428571428571	0.0980285825675359	25	17	17	0.133333333333333	Non-sig	auc_l	Olaparib
0_Olaparib_25	0_DMSO_control_0	0.0285714285714286	0.0996576826252065	25	0	0	0.0800000000000001	Non-sig	auc_l	Olaparib
20_Olaparib_25	20_DMSO_control_0	0.342857142857143	0.0307028861730187	25	20	20	0.6	Non-sig	auc_l	Olaparib
4_Olaparib_25	4_DMSO_control_0	0.0285714285714286	0.117972506168504	25	4	4	0.0800000000000001	Non-sig	auc_l	Olaparib
4_Olaparib_50	4_DMSO_control_0	0.0285714285714286	0.0676006233002651	50	4	4	0.0800000000000001	Non-sig	auc_l	Olaparib
7_Olaparib_50	7_DMSO_control_0	0.885714285714286	-0.00940416789304089	50	7	7	0.953846153846154	Non-sig	auc_l	Olaparib
14_Olaparib_50	14_DMSO_control_0	0.485714285714286	-0.0103240136311728	50	14	14	0.68	Non-sig	auc_l	Olaparib
17_Olaparib_50	17_DMSO_control_0	0.685714285714286	0.0262919229686281	50	17	17	0.8	Non-sig	auc_l	Olaparib
20_Olaparib_50	20_DMSO_control_0	0.685714285714286	-0.0217133587745804	50	20	20	0.8	Non-sig	auc_l	Olaparib
10_Olaparib_50	10_DMSO_control_0	0.0285714285714286	0.027688744519802	50	10	10	0.0800000000000001	Non-sig	auc_l	Olaparib
0_Olaparib_50	0_DMSO_control_0	0.485714285714286	0.0304103825743522	50	0	0	0.68	Non-sig	auc_l	Olaparib
4_Sulfasalazine_25	4_DMSO_control_0	0.885714285714286	-0.00299389549979547	25	4	4	0.953846153846154	Non-sig	auc_l	Sulfasalazine
0_Sulfasalazine_25	0_DMSO_control_0	0.885714285714286	0.0264758584017244	25	0	0	0.953846153846154	Non-sig	auc_l	Sulfasalazine
20_Sulfasalazine_25	20_DMSO_control_0	0.685714285714286	-0.0140317902127506	25	20	20	0.872727272727273	Non-sig	auc_l	Sulfasalazine
10_Sulfasalazine_25	10_DMSO_control_0	0.342857142857143	-0.0277702005846397	25	10	10	0.6	Non-sig	auc_l	Sulfasalazine
17_Sulfasalazine_25	17_DMSO_control_0	0.485714285714286	-0.0260066270374353	25	17	17	0.68	Non-sig	auc_l	Sulfasalazine
7_Sulfasalazine_25	7_DMSO_control_0	0.0571428571428571	-0.0544863809335336	25	7	7	0.4	Non-sig	auc_l	Sulfasalazine
14_Sulfasalazine_25	14_DMSO_control_0	0.0571428571428571	-0.0675146814538495	25	14	14	0.4	Non-sig	auc_l	Sulfasalazine
4_Sulfasalazine_50	4_DMSO_control_0	0.342857142857143	-0.027783327891049	50	4	4	0.6	Non-sig	auc_l	Sulfasalazine
17_Sulfasalazine_50	17_DMSO_control_0	0.342857142857143	0.0237668806862102	50	17	17	0.6	Non-sig	auc_l	Sulfasalazine
7_Sulfasalazine_50	7_DMSO_control_0	1	-0.00453785964683057	50	7	7	1	Non-sig	auc_l	Sulfasalazine
20_Sulfasalazine_50	20_DMSO_control_0	0.342857142857143	-0.0234954510706916	50	20	20	0.6	Non-sig	auc_l	Sulfasalazine
10_Sulfasalazine_50	10_DMSO_control_0	0.342857142857143	-0.0316364662869748	50	10	10	0.6	Non-sig	auc_l	Sulfasalazine
0_Sulfasalazine_50	0_DMSO_control_0	0.485714285714286	-0.0275727015925217	50	0	0	0.68	Non-sig	auc_l	Sulfasalazine
14_Sulfasalazine_50	14_DMSO_control_0	0.342857142857143	-0.0199644643827591	50	14	14	0.6	Non-sig	auc_l	Sulfasalazine
20_Acetaminophen_25	20_DMSO_control_0	0.342857142857143	-0.0522471241826282	25	20	20	0.436363636363637	Non-sig	auc_l	Acetaminophen
17_Acetaminophen_25	17_DMSO_control_0	0.0571428571428571	0.0574727151505856	25	17	17	0.133333333333333	Non-sig	auc_l	Acetaminophen
14_Acetaminophen_25	14_DMSO_control_0	0.0285714285714286	0.0743317316613546	25	14	14	0.0800000000000001	Non-sig	auc_l	Acetaminophen
