Group1	Group2	Significance	Fold_change	Concentration	Passage1	Passage2	FDR	FDR_sig	Compare	Compound
4_Metformin_50	4_DMSO_control_0	1	-0.00442664717610083	50	4	4	1	Non-sig	auc_l	Metformin
20_Metformin_50	20_DMSO_control_0	0.2	0.0216089982102807	50	20	20	0.533333333333334	Non-sig	auc_l	Metformin
17_Metformin_50	17_DMSO_control_0	0.114285714285714	-0.0168464346931884	50	17	17	0.533333333333332	Non-sig	auc_l	Metformin
0_Metformin_50	0_DMSO_control_0	0.342857142857143	0.0401737963971826	50	0	0	0.533333333333334	Non-sig	auc_l	Metformin
0_Simvastatin_25	0_DMSO_control_0	0.485714285714286	-0.029709041435799	25	0	0	0.566666666666667	Non-sig	auc_l	Simvastatin
17_Simvastatin_25	17_DMSO_control_0	0.885714285714286	-0.0114698457166686	25	17	17	0.885714285714286	Non-sig	auc_l	Simvastatin
7_Simvastatin_25	7_DMSO_control_0	0.0285714285714286	-0.0847343740952382	25	7	7	0.0363636363636364	Sig	auc_l	Simvastatin
10_Simvastatin_25	10_DMSO_control_0	0.0285714285714286	-0.0803913953645171	25	10	10	0.0363636363636364	Sig	auc_l	Simvastatin
14_Simvastatin_25	14_DMSO_control_0	0.0285714285714286	-0.0739736385155695	25	14	14	0.0363636363636364	Sig	auc_l	Simvastatin
20_Simvastatin_25	20_DMSO_control_0	0.685714285714286	0.00850264231140523	25	20	20	0.738461538461539	Non-sig	auc_l	Simvastatin
4_Simvastatin_25	4_DMSO_control_0	0.0285714285714286	-0.0840290888736524	25	4	4	0.0363636363636364	Sig	auc_l	Simvastatin
4_Simvastatin_50	4_DMSO_control_0	0.0285714285714286	-0.356584853587294	50	4	4	0.0363636363636364	Sig	auc_l	Simvastatin
0_Simvastatin_50	0_DMSO_control_0	0.0285714285714286	-0.330823201332379	50	0	0	0.0363636363636364	Sig	auc_l	Simvastatin
17_Simvastatin_50	17_DMSO_control_0	0.0285714285714286	-0.188603742466053	50	17	17	0.0363636363636364	Sig	auc_l	Simvastatin
10_Simvastatin_50	10_DMSO_control_0	0.0285714285714286	-0.283412028964193	50	10	10	0.0363636363636364	Sig	auc_l	Simvastatin
7_Simvastatin_50	7_DMSO_control_0	0.0285714285714286	-0.273202389869031	50	7	7	0.0363636363636364	Sig	auc_l	Simvastatin
20_Simvastatin_50	20_DMSO_control_0	0.0285714285714286	-0.161982535291329	50	20	20	0.0363636363636364	Sig	auc_l	Simvastatin
14_Simvastatin_50	14_DMSO_control_0	0.0285714285714286	-0.261611597635643	50	14	14	0.0363636363636364	Sig	auc_l	Simvastatin
20_Acesulfame_K_25	20_DMSO_control_0	0.0571428571428571	-0.0824813441463801	25	20	20	0.114285714285714	Non-sig	auc_l	Acesulfame_K
17_Acesulfame_K_25	17_DMSO_control_0	0.2	0.0213636316226644	25	17	17	0.254545454545455	Non-sig	auc_l	Acesulfame_K
14_Acesulfame_K_25	14_DMSO_control_0	0.0285714285714286	0.0683344642491375	25	14	14	0.1	Non-sig	auc_l	Acesulfame_K
4_Acesulfame_K_25	4_DMSO_control_0	0.114285714285714	-0.0410321744259302	25	4	4	0.2	Non-sig	auc_l	Acesulfame_K
10_Acesulfame_K_25	10_DMSO_control_0	0.0571428571428571	-0.02439494976674	25	10	10	0.114285714285714	Non-sig	auc_l	Acesulfame_K
0_Acesulfame_K_25	0_DMSO_control_0	0.2	-0.103198104056543	25	0	0	0.254545454545455	Non-sig	auc_l	Acesulfame_K
7_Acesulfame_K_25	7_DMSO_control_0	0.0285714285714286	0.0933056243451768	25	7	7	0.1	Non-sig	auc_l	Acesulfame_K
7_Acesulfame_K_50	7_DMSO_control_0	0.0285714285714286	0.140666964409545	50	7	7	0.1	Non-sig	auc_l	Acesulfame_K
20_Acesulfame_K_50	20_DMSO_control_0	0.2	0.0167970501004453	50	20	20	0.254545454545455	Non-sig	auc_l	Acesulfame_K
17_Acesulfame_K_50	17_DMSO_control_0	0.0571428571428571	0.0310242048739951	50	17	17	0.114285714285714	Non-sig	auc_l	Acesulfame_K
14_Acesulfame_K_50	14_DMSO_control_0	0.0285714285714286	0.0934230180990166	50	14	14	0.1	Non-sig	auc_l	Acesulfame_K
4_Acesulfame_K_50	4_DMSO_control_0	0.685714285714286	-0.00954799414450884	50	4	4	0.685714285714286	Non-sig	auc_l	Acesulfame_K
10_Acesulfame_K_50	10_DMSO_control_0	0.342857142857143	-0.018737766426333	50	10	10	0.4	Non-sig	auc_l	Acesulfame_K
0_Acesulfame_K_50	0_DMSO_control_0	0.685714285714286	0.00810977564921724	50	0	0	0.685714285714286	Non-sig	auc_l	Acesulfame_K
0_Duloxetine_25	0_DMSO_control_0	0.0285714285714286	0.112382418988075	25	0	0	0.1	Non-sig	auc_l	Duloxetine
10_Duloxetine_25	10_DMSO_control_0	0.685714285714286	-0.0156929061146054	25	10	10	0.738461538461539	Non-sig	auc_l	Duloxetine
20_Duloxetine_25	20_DMSO_control_0	0.0285714285714286	0.0503177857260222	25	20	20	0.1	Non-sig	auc_l	Duloxetine
7_Duloxetine_25	7_DMSO_control_0	0.342857142857143	-0.00210417144237814	25	7	7	0.533333333333334	Non-sig	auc_l	Duloxetine
17_Duloxetine_25	17_DMSO_control_0	0.342857142857143	-0.0128523048334327	25	17	17	0.533333333333334	Non-sig	auc_l	Duloxetine
4_Duloxetine_25	4_DMSO_control_0	0.0285714285714286	0.110076939916852	25	4	4	0.1	Non-sig	auc_l	Duloxetine
14_Duloxetine_25	14_DMSO_control_0	0.885714285714286	0.00808694516280443	25	14	14	0.885714285714286	Non-sig	auc_l	Duloxetine
0_Duloxetine_50	0_DMSO_control_0	0.114285714285714	0.0861596588914397	50	0	0	0.319999999999999	Non-sig	auc_l	Duloxetine
14_Duloxetine_50	14_DMSO_control_0	0.685714285714286	0.0305260815250884	50	14	14	0.738461538461539	Non-sig	auc_l	Duloxetine
17_Duloxetine_50	17_DMSO_control_0	0.685714285714286	0.00147218072836787	50	17	17	0.738461538461539	Non-sig	auc_l	Duloxetine
4_Duloxetine_50	4_DMSO_control_0	0.342857142857143	0.0150971096832508	50	4	4	0.533333333333334	Non-sig	auc_l	Duloxetine
20_Duloxetine_50	20_DMSO_control_0	0.0285714285714286	0.053970911528017	50	20	20	0.1	Non-sig	auc_l	Duloxetine
7_Duloxetine_50	7_DMSO_control_0	0.342857142857143	0.00406947725320386	50	7	7	0.533333333333334	Non-sig	auc_l	Duloxetine
10_Duloxetine_50	10_DMSO_control_0	0.685714285714286	-0.00834433306418357	50	10	10	0.738461538461539	Non-sig	auc_l	Duloxetine
7_Olaparib_25	7_DMSO_control_0	1	-0.0108247676730553	25	7	7	1	Non-sig	auc_l	Olaparib
14_Olaparib_25	14_DMSO_control_0	0.342857142857143	-0.0135937523748173	25	14	14	0.6	Non-sig	auc_l	Olaparib
10_Olaparib_25	10_DMSO_control_0	0.0285714285714286	0.0295724935518179	25	10	10	0.0800000000000001	Non-sig	auc_l	Olaparib
17_Olaparib_25	17_DMSO_control_0	0.0571428571428571	0.0980285827483663	25	17	17	0.133333333333333	Non-sig	auc_l	Olaparib
0_Olaparib_25	0_DMSO_control_0	0.0285714285714286	0.0996576825158797	25	0	0	0.0800000000000001	Non-sig	auc_l	Olaparib
20_Olaparib_25	20_DMSO_control_0	0.342857142857143	0.0307028857716498	25	20	20	0.6	Non-sig	auc_l	Olaparib
4_Olaparib_25	4_DMSO_control_0	0.0285714285714286	0.117972506903497	25	4	4	0.0800000000000001	Non-sig	auc_l	Olaparib
4_Olaparib_50	4_DMSO_control_0	0.0285714285714286	0.0676006243316801	50	4	4	0.0800000000000001	Non-sig	auc_l	Olaparib
7_Olaparib_50	7_DMSO_control_0	0.885714285714286	-0.00940416808700375	50	7	7	0.953846153846154	Non-sig	auc_l	Olaparib
14_Olaparib_50	14_DMSO_control_0	0.485714285714286	-0.0103240135464672	50	14	14	0.68	Non-sig	auc_l	Olaparib
17_Olaparib_50	17_DMSO_control_0	0.685714285714286	0.026291923016226	50	17	17	0.8	Non-sig	auc_l	Olaparib
20_Olaparib_50	20_DMSO_control_0	0.685714285714286	-0.0217133589417247	50	20	20	0.8	Non-sig	auc_l	Olaparib
10_Olaparib_50	10_DMSO_control_0	0.0285714285714286	0.027688744663079	50	10	10	0.0800000000000001	Non-sig	auc_l	Olaparib
0_Olaparib_50	0_DMSO_control_0	0.485714285714286	0.030410382287952	50	0	0	0.68	Non-sig	auc_l	Olaparib
4_Sulfasalazine_25	4_DMSO_control_0	0.885714285714286	-0.00299389502990877	25	4	4	0.953846153846154	Non-sig	auc_l	Sulfasalazine
0_Sulfasalazine_25	0_DMSO_control_0	0.885714285714286	0.0264758581154843	25	0	0	0.953846153846154	Non-sig	auc_l	Sulfasalazine
20_Sulfasalazine_25	20_DMSO_control_0	0.685714285714286	-0.0140317902071725	25	20	20	0.872727272727273	Non-sig	auc_l	Sulfasalazine
10_Sulfasalazine_25	10_DMSO_control_0	0.342857142857143	-0.0277702004363944	25	10	10	0.6	Non-sig	auc_l	Sulfasalazine
17_Sulfasalazine_25	17_DMSO_control_0	0.485714285714286	-0.0260066269459373	25	17	17	0.68	Non-sig	auc_l	Sulfasalazine
7_Sulfasalazine_25	7_DMSO_control_0	0.0571428571428571	-0.0544863809873433	25	7	7	0.4	Non-sig	auc_l	Sulfasalazine
14_Sulfasalazine_25	14_DMSO_control_0	0.0571428571428571	-0.0675146811630228	25	14	14	0.4	Non-sig	auc_l	Sulfasalazine
4_Sulfasalazine_50	4_DMSO_control_0	0.342857142857143	-0.0277833276989277	50	4	4	0.6	Non-sig	auc_l	Sulfasalazine
17_Sulfasalazine_50	17_DMSO_control_0	0.342857142857143	0.023766880785572	50	17	17	0.6	Non-sig	auc_l	Sulfasalazine
7_Sulfasalazine_50	7_DMSO_control_0	1	-0.0045378597289946	50	7	7	1	Non-sig	auc_l	Sulfasalazine
20_Sulfasalazine_50	20_DMSO_control_0	0.342857142857143	-0.0234954509454793	50	20	20	0.6	Non-sig	auc_l	Sulfasalazine
10_Sulfasalazine_50	10_DMSO_control_0	0.342857142857143	-0.0316364663462643	50	10	10	0.6	Non-sig	auc_l	Sulfasalazine
0_Sulfasalazine_50	0_DMSO_control_0	0.485714285714286	-0.0275727018752687	50	0	0	0.68	Non-sig	auc_l	Sulfasalazine
14_Sulfasalazine_50	14_DMSO_control_0	0.342857142857143	-0.0199644640886809	50	14	14	0.6	Non-sig	auc_l	Sulfasalazine
20_Acetaminophen_25	20_DMSO_control_0	0.342857142857143	-0.0522471241074524	25	20	20	0.436363636363637	Non-sig	auc_l	Acetaminophen
17_Acetaminophen_25	17_DMSO_control_0	0.0571428571428571	0.0574727151168872	25	17	17	0.133333333333333	Non-sig	auc_l	Acetaminophen
14_Acetaminophen_25	14_DMSO_control_0	0.0285714285714286	0.0743317317186405	25	14	14	0.0800000000000001	Non-sig	auc_l	Acetaminophen
